1976 Standard Atmosphere in SI Units


Column 1 = Altitude [m] 
Column 2 = Temperature [Kelvin] 
Column 3 = Pressure [pascal] 
Column 4 = Density [kg/m3] 
Column 5 = Speed of sound [m/s] 


Col1 Col2   Col3        Col4   Col5
---- ----   ----        ----   ----
12900 216.65 16772.8193 0.2697 295.0696 
13000 216.65 16510.4058 0.2655 295.0696 
13100 216.65 16252.0978 0.2613 295.0696 
13200 216.65 15997.831 0.2572 295.0696 
13300 216.65 15747.5423 0.2532 295.0696 
13400 216.65 15501.1694 0.2493 295.0696 
13500 216.65 15258.6511 0.2454 295.0696 
13600 216.65 15019.927 0.2415 295.0696 
13700 216.65 14784.9378 0.2377 295.0696 
13800 216.65 14553.625 0.234 295.0696 
13900 216.65 14325.9311 0.2304 295.0696 
14000 216.65 14101.7996 0.2268 295.0696 
14100 216.65 13881.1746 0.2232 295.0696 
14200 216.65 13664.0014 0.2197 295.0696 
14300 216.65 13450.2258 0.2163 295.0696 
14400 216.65 13239.7948 0.2129 295.0696 
14500 216.65 13032.6561 0.2096 295.0696 
14600 216.65 12828.758 0.2063 295.0696 
14700 216.65 12628.05 0.2031 295.0696 
14800 216.65 12430.4821 0.1999 295.0696 
14900 216.65 12236.0052 0.1968 295.0696 
15000 216.65 12044.5709 0.1937 295.0696 
15100 216.65 11856.1316 0.1906 295.0696 
15200 216.65 11670.6405 0.1877 295.0696 
15300 216.65 11488.0514 0.1847 295.0696 
15400 216.65 11308.3189 0.1818 295.0696 
15500 216.65 11131.3984 0.179 295.0696 
15600 216.65 10957.2459 0.1762 295.0696 
15700 216.65 10785.8179 0.1734 295.0696 
15800 216.65 10617.0721 0.1707 295.0696 
15900 216.65 10450.9662 0.168 295.0696 
16000 216.65 10287.4591 0.1654 295.0696 
16100 216.65 10126.5102 0.1628 295.0696 
16200 216.65 9968.0792 0.1603 295.0696 
16300 216.65 9812.127 0.1578 295.0696 
16400 216.65 9658.6147 0.1553 295.0696 
16500 216.65 9507.5041 0.1529 295.0696 
16600 216.65 9358.7576 0.1505 295.0696 
16700 216.65 9212.3383 0.1481 295.0696 
16800 216.65 9068.2098 0.1458 295.0696 
16900 216.65 8926.3361 0.1435 295.0696 
17000 216.65 8786.6821 0.1413 295.0696 
17100 216.65 8649.213 0.1391 295.0696 
17200 216.65 8513.8947 0.1369 295.0696 
17300 216.65 8380.6934 0.1348 295.0696 
17400 216.65 8249.5761 0.1327 295.0696 
17500 216.65 8120.5101 0.1306 295.0696 
17600 216.65 7993.4634 0.1285 295.0696 
17700 216.65 7868.4044 0.1265 295.0696 
17800 216.65 7745.3019 0.1245 295.0696 
17900 216.65 7624.1254 0.1226 295.0696 
18000 216.65 7504.8447 0.1207 295.0696 
18100 216.65 7387.4301 0.1188 295.0696 
18200 216.65 7271.8526 0.1169 295.0696 
18300 216.65 7158.0833 0.1151 295.0696 
18400 216.65 7046.0939 0.1133 295.0696 
18500 216.65 6935.8566 0.1115 295.0696 
18600 216.65 6827.344 0.1098 295.0696 
18700 216.65 6720.529 0.1081 295.0696 
18800 216.65 6615.3853 0.1064 295.0696 
18900 216.65 6511.8865 0.1047 295.0696 
19000 216.65 6410.0069 0.1031 295.0696 
19100 216.65 6309.7213 0.1015 295.0696 
19200 216.65 6211.0047 0.0999 295.0696 
19300 216.65 6113.8325 0.0983 295.0696 
19400 216.65 6018.1806 0.0968 295.0696 
19500 216.65 5924.0252 0.0953 295.0696 
19600 216.65 5831.3428 0.0938 295.0696 
19700 216.65 5740.1105 0.0923 295.0696 
19800 216.65 5650.3056 0.0909 295.0696 
19900 216.65 5561.9056 0.0894 295.0696 
20000 216.65 5474.8887 0.088 295.0696 
20100 216.75 5389.2527 0.0866 295.1377 
20200 216.85 5304.9949 0.0852 295.2057 
20300 216.95 5222.0923 0.0839 295.2738 
20400 217.05 5140.5225 0.0825 295.3418 
20500 217.15 5060.2636 0.0812 295.4099 
20600 217.25 4981.2938 0.0799 295.4779 
20700 217.35 4903.592 0.0786 295.5459 
20800 217.45 4827.1371 0.0773 295.6138 
20900 217.55 4751.9085 0.0761 295.6818 
21000 217.65 4677.8862 0.0749 295.7498 
21100 217.75 4605.0501 0.0737 295.8177 
21200 217.85 4533.3808 0.0725 295.8856 
21300 217.95 4462.859 0.0713 295.9535 
21400 218.05 4393.4658 0.0702 296.0214 
21500 218.15 4325.1827 0.0691 296.0893 
21600 218.25 4257.9915 0.068 296.1571 
21700 218.35 4191.8741 0.0669 296.225 
21800 218.45 4126.8129 0.0658 296.2928 
21900 218.55 4062.7907 0.0648 296.3606 
22000 218.65 3999.7902 0.0637 296.4284 
22100 218.75 3937.7948 0.0627 296.4962 
22200 218.85 3876.7881 0.0617 296.5639 
22300 218.95 3816.7537 0.0607 296.6317 
22400 219.05 3757.6757 0.0598 296.6994 
22500 219.15 3699.5385 0.0588 296.7671 
22600 219.25 3642.3267 0.0579 296.8348 
22700 219.35 3586.0252 0.057 296.9025 
22800 219.45 3530.619 0.056 296.9702 
22900 219.55 3476.0935 0.0552 297.0378 
23000 219.65 3422.4343 0.0543 297.1055 
23100 219.75 3369.6274 0.0534 297.1731 
23200 219.85 3317.6587 0.0526 297.2407 
23300 219.95 3266.5145 0.0517 297.3083 
23400 220.05 3216.1815 0.0509 297.3759 
23500 220.15 3166.6465 0.0501 297.4434 
23600 220.25 3117.8963 0.0493 297.511 
23700 220.35 3069.9182 0.0485 297.5785 
23800 220.45 3022.6997 0.0478 297.646 
23900 220.55 2976.2284 0.047 297.7135 
24000 220.65 2930.4922 0.0463 297.781 
24100 220.75 2885.479 0.0455 297.8485 
24200 220.85 2841.1771 0.0448 297.916 
24300 220.95 2797.5751 0.0441 297.9834 
24400 221.05 2754.6614 0.0434 298.0508 
24500 221.15 2712.425 0.0427 298.1182 
24600 221.25 2670.8548 0.0421 298.1856 
24700 221.35 2629.9401 0.0414 298.253 
24800 221.45 2589.6702 0.0407 298.3204 
24900 221.55 2550.0347 0.0401 298.3877 
25000 221.65 2511.0234 0.0395 298.455 
25100 221.75 2472.626 0.0388 298.5224 
25200 221.85 2434.8326 0.0382 298.5897 
25300 221.95 2397.6336 0.0376 298.657 
25400 222.05 2361.0193 0.037 298.7242 
25500 222.15 2324.9802 0.0365 298.7915 
25600 222.25 2289.5071 0.0359 298.8587 
25700 222.35 2254.5908 0.0353 298.926 
25800 222.45 2220.2224 0.0348 298.9932 
25900 222.55 2186.3929 0.0342 299.0604 
26000 222.65 2153.0938 0.0337 299.1275 
26100 222.75 2120.3164 0.0332 299.1947 
26200 222.85 2088.0523 0.0326 299.2619 
26300 222.95 2056.2934 0.0321 299.329 
26400 223.05 2025.0314 0.0316 299.3961 
26500 223.15 1994.2584 0.0311 299.4632 
26600 223.25 1963.9666 0.0306 299.5303 
