1976 Standard Atmosphere in SI Units


Column 1 = Altitude [m] 
Column 2 = Temperature [Kelvin] 
Column 3 = Pressure [pascal] 
Column 4 = Density [kg/m3] 
Column 5 = Speed of sound [m/s] 


Col1 Col2   Col3        Col4   Col5
---- ----   ----        ----   ----
57700 251.89 27.8637 0.0004 318.1636 
57800 251.61 27.4881 0.0004 317.9867 
57900 251.33 27.1172 0.0004 317.8098 
58000 251.05 26.7509 0.0004 317.6327 
58100 250.77 26.3891 0.0004 317.4555 
58200 250.49 26.0318 0.0004 317.2782 
58300 250.21 25.679 0.0004 317.1008 
58400 249.93 25.3306 0.0004 316.9234 
58500 249.65 24.9865 0.0003 316.7458 
58600 249.37 24.6467 0.0003 316.5681 
58700 249.09 24.3112 0.0003 316.3903 
58800 248.81 23.9798 0.0003 316.2125 
58900 248.53 23.6526 0.0003 316.0345 
59000 248.25 23.3296 0.0003 315.8564 
59100 247.97 23.0105 0.0003 315.6782 
59200 247.69 22.6955 0.0003 315.5 
59300 247.41 22.3844 0.0003 315.3216 
59400 247.13 22.0773 0.0003 315.1431 
59500 246.85 21.774 0.0003 314.9645 
59600 246.57 21.4746 0.0003 314.7858 
59700 246.29 21.1789 0.0003 314.6071 
59800 246.01 20.887 0.0003 314.4282 
59900 245.73 20.5988 0.0003 314.2492 
60000 245.45 20.3143 0.0003 314.0701 
60100 245.17 20.0333 0.0003 313.8909 
60200 244.89 19.7559 0.0003 313.7116 
60300 244.61 19.4821 0.0003 313.5322 
60400 244.33 19.2117 0.0003 313.3527 
60500 244.05 18.9448 0.0003 313.1731 
60600 243.77 18.6813 0.0003 312.9934 
60700 243.49 18.4212 0.0003 312.8136 
60800 243.21 18.1644 0.0003 312.6337 
60900 242.93 17.9109 0.0003 312.4537 
61000 242.65 17.6606 0.0003 312.2736 
61100 242.37 17.4136 0.0003 312.0933 
61200 242.09 17.1697 0.0002 311.913 
61300 241.81 16.929 0.0002 311.7326 
61400 241.53 16.6913 0.0002 311.552 
61500 241.25 16.4568 0.0002 311.3714 
61600 240.97 16.2252 0.0002 311.1907 
61700 240.69 15.9967 0.0002 311.0098 
61800 240.41 15.7711 0.0002 310.8289 
61900 240.13 15.5485 0.0002 310.6478 
62000 239.85 15.3287 0.0002 310.4666 
62100 239.57 15.1118 0.0002 310.2854 
62200 239.29 14.8977 0.0002 310.104 
62300 239.01 14.6864 0.0002 309.9225 
62400 238.73 14.4778 0.0002 309.7409 
62500 238.45 14.272 0.0002 309.5592 
62600 238.17 14.0689 0.0002 309.3774 
62700 237.89 13.8684 0.0002 309.1955 
62800 237.61 13.6705 0.0002 309.0135 
62900 237.33 13.4753 0.0002 308.8314 
63000 237.05 13.2826 0.0002 308.6491 
63100 236.77 13.0924 0.0002 308.4668 
63200 236.49 12.9047 0.0002 308.2843 
63300 236.21 12.7196 0.0002 308.1018 
63400 235.93 12.5368 0.0002 307.9191 
63500 235.65 12.3565 0.0002 307.7363 
63600 235.37 12.1785 0.0002 307.5535 
63700 235.09 12.0029 0.0002 307.3705 
63800 234.81 11.8297 0.0002 307.1874 
63900 234.53 11.6587 0.0002 307.0042 
64000 234.25 11.49 0.0002 306.8208 
64100 233.97 11.3235 0.0002 306.6374 
64200 233.69 11.1593 0.0002 306.4539 
64300 233.41 10.9973 0.0002 306.2702 
64400 233.13 10.8374 0.0002 306.0865 
64500 232.85 10.6796 0.0002 305.9026 
64600 232.57 10.524 0.0002 305.7186 
64700 232.29 10.3704 0.0002 305.5345 
64800 232.01 10.2189 0.0002 305.3503 
64900 231.73 10.0695 0.0002 305.166 
65000 231.45 9.922 0.0001 304.9816 
65100 231.17 9.7766 0.0001 304.7971 
65200 230.89 9.6331 0.0001 304.6124 
65300 230.61 9.4915 0.0001 304.4277 
65400 230.33 9.3518 0.0001 304.2428 
65500 230.05 9.2141 0.0001 304.0578 
65600 229.77 9.0782 0.0001 303.8727 
65700 229.49 8.9441 0.0001 303.6875 
65800 229.21 8.8119 0.0001 303.5022 
65900 228.93 8.6814 0.0001 303.3168 
66000 228.65 8.5527 0.0001 303.1312 
66100 228.37 8.4258 0.0001 302.9456 
66200 228.09 8.3006 0.0001 302.7598 
66300 227.81 8.1772 0.0001 302.5739 
66400 227.53 8.0554 0.0001 302.3879 
66500 227.25 7.9353 0.0001 302.2018 
66600 226.97 7.8168 0.0001 302.0155 
66700 226.69 7.6999 0.0001 301.8292 
66800 226.41 7.5847 0.0001 301.6427 
66900 226.13 7.471 0.0001 301.4562 
67000 225.85 7.359 0.0001 301.2695 
67100 225.57 7.2484 0.0001 301.0827 
67200 225.29 7.1394 0.0001 300.8957 
67300 225.01 7.0319 0.0001 300.7087 
67400 224.73 6.9259 0.0001 300.5215 
67500 224.45 6.8213 0.0001 300.3343 
67600 224.17 6.7182 0.0001 300.1469 
67700 223.89 6.6165 0.0001 299.9594 
67800 223.61 6.5163 0.0001 299.7717 
67900 223.33 6.4174 0.0001 299.584 
68000 223.05 6.3199 0.0001 299.3961 
68100 222.77 6.2238 0.0001 299.2081 
68200 222.49 6.129 0.0001 299.0201 
68300 222.21 6.0356 0.0001 298.8318 
68400 221.93 5.9434 0.0001 298.6435 
68500 221.65 5.8526 0.0001 298.455 
68600 221.37 5.763 0.0001 298.2665 
68700 221.09 5.6747 0.0001 298.0778 
68800 220.81 5.5876 0.0001 297.889 
68900 220.53 5.5018 0.0001 297.7 
69000 220.25 5.4172 0.0001 297.511 
69100 219.97 5.3337 0.0001 297.3218 
69200 219.69 5.2515 0.0001 297.1325 
69300 219.41 5.1704 0.0001 296.9431 
69400 219.13 5.0905 0.0001 296.7536 
69500 218.85 5.0117 0.0001 296.5639 
69600 218.57 4.934 0.0001 296.3742 
69700 218.29 4.8574 0.0001 296.1843 
69800 218.01 4.782 0.0001 295.9942 
69900 217.73 4.7076 0.0001 295.8041 
70000 217.45 4.6342 0.0001 295.6138 
70100 217.17 4.5619 0.0001 295.4235 
70200 216.89 4.4907 0.0001 295.233 
70300 216.61 4.4205 0.0001 295.0423 
70400 216.33 4.3512 0.0001 294.8516 
70500 216.05 4.283 0.0001 294.6607 
70600 215.77 4.2158 0.0001 294.4697 
70700 215.49 4.1495 0.0001 294.2786 
70800 215.21 4.0842 0.0001 294.0873 
70900 214.93 4.0199 0.0001 293.8959 
71000 214.65 3.9564 0.0001 293.7044 
71100 214.45 3.8939 0.0001 293.5676 
71200 214.25 3.8324 0.0001 293.4307 
71300 214.05 3.7717 0.0001 293.2937 
71400 213.85 3.712 0.0001 293.1566 
71500 213.65 3.6531 0.0001 293.0195 
71600 213.45 3.5951 0.0001 292.8823 
71700 213.25 3.538 0.0001 292.7451 
71800 213.05 3.4818 0.0001 292.6078 
71900 212.85 3.4263 0.0001 292.4704 
72000 212.65 3.3718 0.0001 292.3329 
72100 212.45 3.318 0.0001 292.1954 
72200 212.25 3.265 0.0001 292.0579 
72300 212.05 3.2129 0.0001 291.9202 
72400 211.85 3.1615 0.0001 291.7825 
72500 211.65 3.1109 0.0001 291.6448 
72600 211.45 3.0611 0.0001 291.5069 
72700 211.25 3.012 0 291.3691 
72800 211.05 2.9637 0 291.2311 
72900 210.85 2.9161 0 291.0931 
73000 210.65 2.8692 0 290.955 
73100 210.45 2.823 0 290.8168 
73200 210.25 2.7775 0 290.6786 
73300 210.05 2.7327 0 290.5403 
73400 209.85 2.6886 0 290.402 
73500 209.65 2.6452 0 290.2635 
73600 209.45 2.6024 0 290.1251 
73700 209.25 2.5603 0 289.9865 
73800 209.05 2.5188 0 289.8479 
73900 208.85 2.478 0 289.7092 
74000 208.65 2.4377 0 289.5705 
74100 208.45 2.3981 0 289.4316 
74200 208.25 2.3591 0 289.2928 
74300 208.05 2.3207 0 289.1538 
74400 207.85 2.2829 0 289.0148 
74500 207.65 2.2457 0 288.8757 
74600 207.45 2.209 0 288.7366 
74700 207.25 2.1729 0 288.5973 
74800 207.05 2.1374 0 288.4581 
74900 206.85 2.1024 0 288.3187 
75000 206.65 2.0679 0 288.1793 
75100 206.45 2.034 0 288.0398 
75200 206.25 2.0006 0 287.9002 
75300 206.05 1.9677 0 287.7606 
75400 205.85 1.9353 0 287.6209 
75500 205.65 1.9035 0 287.4812 
75600 205.45 1.8721 0 287.3414 
75700 205.25 1.8412 0 287.2015 
75800 205.05 1.8108 0 287.0615 
75900 204.85 1.7809 0 286.9215 
76000 204.65 1.7514 0 286.7814 
76100 204.45 1.7224 0 286.6412 
76200 204.25 1.6938 0 286.501 
76300 204.05 1.6657 0 286.3607 
76400 203.85 1.6381 0 286.2203 
76500 203.65 1.6108 0 286.0799 
76600 203.45 1.584 0 285.9393 
76700 203.25 1.5576 0 285.7988 
76800 203.05 1.5316 0 285.6581 
76900 202.85 1.5061 0 285.5174 
77000 202.65 1.4809 0 285.3766 
77100 202.45 1.4561 0 285.2357 
77200 202.25 1.4318 0 285.0948 
77300 202.05 1.4078 0 284.9538 
77400 201.85 1.3842 0 284.8128 
77500 201.65 1.3609 0 284.6716 
77600 201.45 1.338 0 284.5304 
77700 201.25 1.3155 0 284.3891 
77800 201.05 1.2934 0 284.2478 
77900 200.85 1.2716 0 284.1064 
78000 200.65 1.2501 0 283.9649 
78100 200.45 1.229 0 283.8233 
78200 200.25 1.2082 0 283.6817 
78300 200.05 1.1878 0 283.54 
78400 199.85 1.1677 0 283.3982 
78500 199.65 1.1479 0 283.2564 
78600 199.45 1.1284 0 283.1145 
78700 199.25 1.1092 0 282.9725 
78800 199.05 1.0903 0 282.8304 
78900 198.85 1.0718 0 282.6883 
79000 198.65 1.0535 0 282.5461 
79100 198.45 1.0355 0 282.4039 
79200 198.25 1.0179 0 282.2615 
79300 198.05 1.0005 0 282.1191 
79400 197.85 0.9833 0 281.9766 
79500 197.65 0.9665 0 281.8341 
79600 197.45 0.9499 0 281.6914 
79700 197.25 0.9336 0 281.5487 
79800 197.05 0.9176 0 281.406 
79900 196.85 0.9018 0 281.2631 
80000 196.65 0.8863 0 281.1202 
80100 196.45 0.871 0 280.9772 
80200 196.25 0.856 0 280.8341 
80300 196.05 0.8412 0 280.691 
80400 195.85 0.8267 0 280.5478 
80500 195.65 0.8124 0 280.4045 
80600 195.45 0.7983 0 280.2612 
80700 195.25 0.7845 0 280.1177 
80800 195.05 0.7708 0 279.9742 
80900 194.85 0.7575 0 279.8306 
81000 194.65 0.7443 0 279.687 
81100 194.45 0.7313 0 279.5433 
81200 194.25 0.7186 0 279.3995 
81300 194.05 0.706 0 279.2556 
81400 193.85 0.6937 0 279.1117 
81500 193.65 0.6816 0 278.9676 
81600 193.45 0.6697 0 278.8235 
81700 193.25 0.6579 0 278.6794 
81800 193.05 0.6464 0 278.5351 
81900 192.85 0.6351 0 278.3908 
82000 192.65 0.6239 0 278.2464 
82100 192.45 0.6129 0 278.1019 
82200 192.25 0.6021 0 277.9574 
82300 192.05 0.5915 0 277.8128 
82400 191.85 0.5811 0 277.6681 
82500 191.65 0.5708 0 277.5233 
82600 191.45 0.5607 0 277.3785 
82700 191.25 0.5508 0 277.2335 
82800 191.05 0.5411 0 277.0886 
82900 190.85 0.5315 0 276.9435 
83000 190.65 0.522 0 276.7983 
83100 190.45 0.5128 0 276.6531 
83200 190.25 0.5036 0 276.5078 
83300 190.05 0.4947 0 276.3624 
83400 189.85 0.4859 0 276.217 
83500 189.65 0.4772 0 276.0714 
83600 189.45 0.4687 0 275.9258 
83700 189.25 0.4603 0 275.7802 
83800 189.05 0.452 0 275.6344 
83900 188.85 0.4439 0 275.4886 
84000 188.65 0.436 0 275.3426 
84100 188.45 0.4282 0 275.1966 
84200 188.25 0.4205 0 275.0506 
84300 188.05 0.4129 0 274.9044 
84400 187.85 0.4055 0 274.7582 
84500 187.65 0.3981 0 274.6119 
84600 187.45 0.391 0 274.4655 
84700 187.25 0.3839 0 274.3191 
84800 187.05 0.3769 0 274.1725 
84900 186.946 0.3701 0 274.0963 
85000 186.946 0.3634 0 274.0963 
85100 186.946 0.3568 0 274.0963 
85200 186.946 0.3504 0 274.0963 
85300 186.946 0.344 0 274.0963 
85400 186.946 0.3378 0 274.0963 
85500 186.946 0.3317 0 274.0963 
85600 186.946 0.3257 0 274.0963 
85700 186.946 0.3198 0 274.0963 
85800 186.946 0.314 0 274.0963 
85900 186.946 0.3083 0 274.0963 
86000 186.946 0.3027 0 274.0963 
 
